candle_size,weekday,target
0.027129817444219,2,0
0.0119168356997971,2,0
0.0304259634888438,2,1
0.0415821501014198,2,1
0.0567951318458417,2,0
0.0423427991886409,3,0
0.0096348884381338,4,0
0.0547667342799188,4,0
0.0405679513184584,0,1
0.0433569979716024,0,0
0.0291582150101419,0,1
0.0124239350912778,1,0
0.0152129817444219,1,0
0.0436105476673428,1,0
0.0268762677484787,1,0
0.0491886409736308,2,1
0.0555273833671399,2,1
0.1161257606490872,3,0
0.079868154158215,4,0
0.0641480730223123,4,0
0.0864604462474645,4,0
0.2669878296146045,4,1
0.1242393509127789,0,0
0.1052231237322515,0,0
0.0334685598377282,1,1
0.01394523326572,2,1
0.0251014198782961,3,1
0.1328600405679513,3,0
0.0504563894523326,4,0
0.0339756592292089,0,0
0.117393509127789,0,1
0.0993914807302231,1,0
0.0887423935091277,1,0
0.0489350912778904,1,1
0.0136916835699797,2,0
0.0344827586206896,2,0
0.0294117647058823,2,0
0.3864097363083164,3,0
0.1630324543610548,3,1
0.1987829614604462,3,0
0.0588235294117647,3,0
0.1100405679513184,0,1
0.0344827586206896,1,1
0.027129817444219,1,0
0.0824036511156186,1,1
0.0915314401622718,1,0
0.1894016227180527,1,1
0.1323529411764706,1,0
0.0824036511156186,2,1
0.0998985801217038,2,1
0.0953346855983773,3,1
0.0623732251521298,3,0
0.0258620689655172,4,0
0.063894523326572,4,1
0.1110547667342799,0,1
0.2041075050709939,0,1
0.0786004056795131,1,1
0.3133874239350913,1,0
0.1670892494929006,1,0
0.0496957403651115,1,0
0.0971095334685598,2,1
0.1151115618661257,2,0
0.0684584178498985,2,0
0.1391987829614604,3,0
0.0573022312373225,4,0
0.1196754563894523,4,1
0.1546653144016227,0,0
0.0656693711967545,0,0
0.1326064908722109,1,0
0.0423427991886409,2,0
0.0715010141987829,2,0
0.0742900608519269,3,1
0.0322008113590263,3,1
0.0598377281947261,4,0
0.06947261663286,0,1
0.0623732251521298,1,0
0.0210446247464503,1,0
0.0443711967545639,1,0
0.031947261663286,2,0
0.0621196754563894,2,0
0.0570486815415821,2,1
0.0968559837728194,2,1
0.0410750507099391,2,1
0.0567951318458417,4,0
0.0504563894523326,4,0
0.0570486815415821,0,0
0.2177991886409736,0,0
0.0773326572008113,1,0
0.0398073022312373,1,0
0.0697261663286004,2,1
0.0314401622718052,3,0
0.0357505070993914,4,1
0.0560344827586207,4,0
0.03473630831643,1,0
0.0877281947261663,1,0
0.059077079107505,1,0
0.1290567951318458,1,0
0.0370182555780933,1,0
0.0664300202839756,3,0
0.0332150101419878,4,0
0.0438640973630831,0,0
0.0803752535496957,1,1
0.0354969574036511,1,1
0.0998985801217038,1,1
0.1171399594320487,1,0
0.0362576064908722,1,0
0.0801217038539553,2,1
0.0945740365111561,2,0
0.1006592292089249,2,0
0.0200304259634888,2,0
0.0311866125760649,3,0
0.0514705882352941,3,0
0.0400608519269777,3,0
0.0415821501014198,3,1
0.027129817444219,3,0
0.0220588235294117,0,1
0.0332150101419878,0,1
0.0405679513184584,0,0
0.029918864097363,0,0
0.0955882352941176,1,0
0.0261156186612576,1,0
0.0943204868154158,2,0
0.0644016227180527,2,0
0.056288032454361,2,0
0.0382860040567951,3,0
0.1285496957403651,3,1
0.1967545638945233,4,0
0.1113083164300202,0,0
0.0628803245436105,0,1
0.0613590263691683,0,1
0.0327079107505071,1,0
0.1115618661257606,1,0
0.0664300202839756,1,0
0.0783468559837728,2,0
0.130578093306288,3,1
0.0565415821501014,3,0
0.1004056795131845,3,0
0.0742900608519269,3,1
0.0595841784989858,3,0
0.0390466531440162,4,1
0.0963488843813387,4,1
0.0770791075050709,4,1
0.0651622718052738,0,0
0.0780933062880324,0,0
0.0091277890466531,0,1
0.0141987829614604,0,0
0.0821501014198783,1,0
0.1696247464503043,1,0
