open,high,low,close,tick_volume,date,time_only,noisy_day
3365.42,3365.42,3343.51,3353.48,16767,2025-06-06,12:00:00,False
3353.39,3360.93,3316.79,3322.76,21630,2025-06-06,16:00:00,False
3322.77,3326.8,3307.13,3312.12,13597,2025-06-06,20:00:00,False
3314.04,3321.15,3298.4,3305.43,10338,2025-06-09,00:00:00,False
3305.59,3313.42,3293.61,3311.72,15863,2025-06-09,04:00:00,False
3311.72,3328.43,3309.57,3319.81,16356,2025-06-09,08:00:00,False
3319.9,3323.45,3312.12,3320.02,15729,2025-06-09,12:00:00,False
3320.16,3337.8,3310.73,3337.62,19228,2025-06-09,16:00:00,False
3338.02,3338.16,3324.82,3325.39,11781,2025-06-09,20:00:00,False
3325.86,3327.87,3314.59,3316.59,8132,2025-06-10,00:00:00,False
3316.6,3319.9,3301.94,3307.25,15777,2025-06-10,04:00:00,False
3307.29,3334.84,3306.74,3329.33,18384,2025-06-10,08:00:00,False
3329.34,3342.47,3327.18,3337.22,16279,2025-06-10,12:00:00,False
3337.04,3349.08,3320.03,3321.34,20238,2025-06-10,16:00:00,False
3321.53,3334.5,3319.51,3322.4,13263,2025-06-10,20:00:00,False
3322.21,3335.2,3315.53,3332.5,9493,2025-06-11,00:00:00,False
3332.36,3342.92,3327.22,3341.85,14201,2025-06-11,04:00:00,False
3341.81,3348.54,3332.52,3344.57,15945,2025-06-11,08:00:00,False
3344.31,3360.68,3326.22,3336.72,18251,2025-06-11,12:00:00,False
3336.91,3344.42,3327.73,3330.25,20341,2025-06-11,16:00:00,False
3330.25,3355.41,3319.29,3354.82,16136,2025-06-11,20:00:00,False
3356.57,3373.29,3356.36,3365.75,11756,2025-06-12,00:00:00,False
3365.78,3377.73,3362.5,3370.45,16085,2025-06-12,04:00:00,False
3370.33,3375.77,3338.67,3356.76,18309,2025-06-12,08:00:00,False
3356.53,3390.28,3355.48,3388.07,18823,2025-06-12,12:00:00,False
3388.16,3398.77,3377.89,3383.84,21384,2025-06-12,16:00:00,False
3383.71,3389.24,3378.17,3386.66,13058,2025-06-12,20:00:00,False
3386.01,3419.92,3379.81,3416.34,10031,2025-06-13,00:00:00,False
3415.76,3444.4,3413.94,3425.32,17479,2025-06-13,04:00:00,False
3425.32,3428.79,3407.91,3424.3,16455,2025-06-13,08:00:00,False
3424.43,3438.15,3411.64,3436.78,16283,2025-06-13,12:00:00,False
3436.24,3446.8,3419.3,3429.96,18407,2025-06-13,16:00:00,False
