candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
12.67,False,0.005283173072913627,1,London,True,True,6432,False
11.03,False,0.004608198666421565,2,Tokyo,True,False,4482,False
13.5,False,0.005643482404875969,4,London,False,False,5598,False
8.73,False,0.0037341682813843372,0,Tokyo,True,True,4841,False
9.18,False,0.0039765737355535145,3,New York,False,False,3288,False
13.07,False,0.005660262961872261,0,Sydney,True,True,4736,True
10.1,False,0.004358238581199163,2,Sydney,True,False,3462,False
2.47,False,0.0010649765015306343,2,Sydney,True,False,1518,False
5.57,False,0.002385449188219222,3,New York,False,False,2673,True
12.97,False,0.005474976360934756,4,Tokyo,True,True,4353,False
5.65,False,0.0024124473744886895,1,Sydney,True,False,3372,False
3.03,False,0.001266807144290588,3,Sydney,True,True,1629,False
13.0,False,0.005305970849812454,0,Tokyo,True,True,4366,False
4.62,False,0.001978425738376749,4,Sydney,True,False,2352,True
3.43,False,0.0014525589175683402,1,New York,False,False,1575,False
3.43,False,0.0014920893165534914,0,Tokyo,False,False,3672,True
7.4,False,0.003210091834654243,0,London,True,True,3893,True
25.9,False,0.011079976898889862,2,London,True,True,6702,False
4.49,False,0.0019377753993155206,0,London,False,False,3593,True
2.14,False,0.0009219409010033647,1,New York,True,False,753,False
14.03,False,0.006027150098805739,1,London,True,False,5882,False
7.16,False,0.003058600391295804,3,Sydney,True,True,2787,False
16.19,False,0.006845579125846183,3,London,True,True,6993,False
2.63,False,0.0011266085228148935,0,New York,False,False,1181,False
5.03,False,0.0021564844587352626,0,Tokyo,True,True,3456,False
6.17,False,0.002638669118590429,0,London,True,True,3973,False
4.57,False,0.0019247859360061324,0,Tokyo,False,False,3223,False
8.94,False,0.0037745886585010577,1,London,False,False,5429,False
5.94,False,0.002497519299012765,2,London,True,False,2960,False
13.76,False,0.005657987795851905,0,London,True,True,5668,False
6.46,False,0.002660987696021288,1,Sydney,True,False,4416,True
7.2,False,0.0030085115806803417,0,London,False,False,8148,True
4.77,False,0.0019873675088327445,1,Sydney,True,False,4646,False
15.23,False,0.00634535743152597,1,London,True,False,11108,False
8.88,True,0.003616371411117899,4,Sydney,True,False,10493,True
9.15,True,0.0037093792566647212,4,Tokyo,True,True,8749,False
9.1,True,0.003775087739676587,1,Tokyo,False,False,12286,False
