candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
1.91,False,0.0010708318850005045,1,Tokyo,False,False,883,True
5.35,False,0.0029999214973813765,1,London,False,False,1845,False
2.67,False,0.001490637456872006,2,Tokyo,False,False,684,False
1.11,False,0.0006225811879522127,2,London,False,False,1074,False
2.42,False,0.0013612176710803118,3,London,False,False,1401,False
5.81,False,0.003259339044189008,3,London,False,False,2544,False
4.77,False,0.002664491875254858,0,London,False,False,2302,False
1.7,False,0.0009504746782363662,1,Sydney,False,False,449,False
2.17,False,0.0012139724310776942,1,Tokyo,False,False,840,True
0.97,False,0.0005437311165546506,1,Tokyo,False,False,736,False
1.0,False,0.0005641303366729849,1,New York,False,False,769,False
1.99,False,0.0011232340108485214,2,Sydney,True,False,730,False
3.35,False,0.0018740629685157423,3,London,False,False,2300,False
1.3,False,0.0007229813526424969,3,New York,False,False,971,False
1.05,False,0.0005822593882394694,4,Sydney,False,False,499,False
2.16,False,0.001195927203468189,4,London,False,False,1152,True
3.52,False,0.0019508734592533477,4,New York,False,False,1355,True
1.16,False,0.000647606924927842,1,Sydney,False,False,573,False
1.6,False,0.0008931462192004109,2,Tokyo,False,False,712,False
1.05,False,0.0005819592628516005,3,Sydney,False,False,480,False
1.91,False,0.001056503581602456,3,Sydney,False,False,588,False
1.74,False,0.0009628899981184908,3,Tokyo,False,False,585,True
2.16,False,0.0011957285917527942,3,London,False,False,721,False
0.27,False,0.00014925373134328358,3,New York,False,False,101,True
0.96,False,0.0005307327428931568,3,New York,False,False,166,True
0.58,False,0.0003203676494956971,1,Sydney,False,False,298,False
2.6,False,0.0014348706684841695,1,London,False,False,998,True
0.81,False,0.00044837091899432066,2,Sydney,False,False,275,False
3.04,False,0.0016873234277087368,2,Tokyo,True,True,950,True
1.29,False,0.0007154067558799226,3,Sydney,False,False,525,True
2.45,False,0.0013464719686519344,4,Tokyo,False,False,446,False
1.47,False,0.0008075503208227124,4,Tokyo,False,False,457,False
1.0,False,0.0005469053361553648,0,Sydney,True,True,389,False
0.68,False,0.0003773668671890608,0,New York,False,False,309,False
0.81,False,0.0004461752862958087,2,Sydney,False,False,340,False
1.96,False,0.0010787605261709503,2,Tokyo,False,False,742,False
1.33,False,0.0007371075456535595,3,Sydney,True,False,1253,True
3.74,False,0.0020781356789224812,3,London,False,False,1484,True
4.89,False,0.0027217624107356547,3,London,True,True,1963,False
1.79,False,0.0009993635338387842,4,Tokyo,False,False,736,False
4.0,False,0.0022325041440858172,4,London,False,False,2307,False
1.47,False,0.0008192016406324014,0,Sydney,False,False,865,True
2.51,False,0.0013980327284474595,0,London,False,False,2439,False
1.04,False,0.0005755905337495297,1,Sydney,False,False,324,False
0.47,False,0.00025844055867150557,2,Sydney,False,False,222,False
1.47,False,0.000804153150146881,2,New York,False,False,685,False
1.06,False,0.0005804561509185993,3,New York,True,False,165,False
1.04,False,0.0005693825484248908,3,Sydney,False,False,211,False
1.52,False,0.000833438426994632,4,Tokyo,False,False,637,False
4.32,False,0.002365231102789002,4,London,False,False,2157,True
1.82,False,0.0010018605982539002,4,New York,True,False,959,False
1.53,False,0.000839801082410284,0,Tokyo,False,False,632,False
0.87,False,0.00047826636687977925,0,New York,False,False,171,False
2.5,False,0.001377759652584126,1,Tokyo,True,True,1501,True
7.68,False,0.0042311485254337205,1,London,True,True,2596,False
4.22,False,0.0023186558389468245,1,London,False,False,2563,False
2.92,False,0.0016095780920987353,1,London,False,False,1406,False
1.66,False,0.0009142630544096669,1,New York,False,False,982,False
2.08,False,0.0011458034947006588,1,New York,False,False,827,False
2.49,False,0.0013682972667025685,2,Tokyo,False,False,1119,False
1.01,False,0.0005482575181847791,2,New York,False,False,866,False
1.78,False,0.0009660210245249945,2,New York,False,False,867,True
2.81,False,0.0015254329298083709,3,Sydney,False,False,1054,False
0.97,False,0.0005267244796559457,3,New York,False,False,833,False
7.32,False,0.00397828249066571,0,London,False,False,4211,False
3.3,False,0.0017818670727163752,1,New York,False,False,1290,False
1.19,False,0.0006436572714340576,2,Sydney,False,False,700,False
1.35,False,0.0007305511061084896,2,Tokyo,False,False,782,True
3.83,False,0.0020767136954659322,2,London,True,False,2554,True
2.79,False,0.001523100355390083,2,New York,False,False,1067,False
2.44,False,0.0013392244573122204,3,Sydney,False,False,705,True
3.2,False,0.0017626386700891235,3,Tokyo,False,False,1370,False
3.19,False,0.0017579050621052978,3,Tokyo,False,False,1471,True
5.39,False,0.0029839343645160932,3,London,False,False,2824,True
2.22,False,0.0012361214739913362,4,Tokyo,True,False,1619,True
7.17,False,0.004010897109580841,4,Tokyo,True,True,1878,False
1.47,False,0.0008226077224398433,4,New York,False,False,1268,False
0.78,False,0.00043596364733894497,0,Sydney,False,False,339,False
1.27,False,0.0007101121082501607,0,Sydney,True,True,698,False
1.11,False,0.0006200424533571668,0,Sydney,False,False,624,True
1.56,False,0.0008728933055798026,0,Sydney,True,True,562,False
1.82,False,0.0010153983485829056,0,Tokyo,False,False,1074,False
2.72,False,0.0015123209678854195,0,London,False,False,1092,False
0.82,False,0.00045614601122564205,0,New York,False,False,218,False
2.0,False,0.0011123532388945434,1,Sydney,True,False,1234,False
1.15,False,0.0006387469451233058,2,Sydney,True,False,361,True
1.11,False,0.0006171501009123814,2,Sydney,False,False,260,False
1.34,False,0.0007417412098131256,2,New York,False,False,731,False
2.1,False,0.0011611319377633283,3,Sydney,False,False,418,False
1.49,False,0.0008246213106497905,3,Tokyo,True,False,544,True
1.23,False,0.0006811498695847201,3,Tokyo,False,False,719,True
1.5,False,0.0008296919077382598,4,Sydney,False,False,428,False
16.98,False,0.009363058378503566,4,London,True,False,6021,False
1.28,False,0.0007061991040098868,0,Tokyo,False,False,1023,False
1.99,False,0.001092458195632363,1,Sydney,True,False,814,True
1.35,False,0.0007414160497352871,1,Tokyo,False,False,787,True
0.76,False,0.00041582089062269177,1,London,False,False,902,False
3.13,False,0.0017091403515477823,2,London,False,False,1709,False
0.45,False,0.00024530513232849085,3,Sydney,False,False,371,False
1.51,False,0.0008239749424308898,3,London,False,False,831,False
4.81,False,0.0026135764702046845,3,London,False,False,2975,False
2.14,False,0.0011619573007840497,3,London,False,False,1760,True
2.01,False,0.0011007245067275624,4,Sydney,True,False,1859,False
0.91,False,0.0004988624838966094,4,Sydney,True,False,880,False
2.38,False,0.0013013357829065716,4,London,False,False,2007,False
4.0,False,0.0021524007339686502,0,Sydney,True,True,1674,False
2.47,False,0.0013316225308375744,0,Sydney,True,True,1375,False
5.2,False,0.002793071035316235,1,Tokyo,True,False,1945,False
3.57,False,0.0019216380753475904,1,Tokyo,False,False,1309,True
3.56,False,0.0019180414426257773,1,New York,False,False,836,False
3.02,False,0.0016255961416314095,2,Tokyo,False,False,1033,False
1.8,False,0.0009696081705648506,2,London,False,False,746,False
4.3,False,0.0022964687787058596,2,New York,False,False,1079,False
2.21,False,0.0011616233291809241,4,Sydney,False,False,625,True
0.92,False,0.000484116251045849,4,Sydney,False,False,711,True
1.07,False,0.0005657574011114226,4,Sydney,False,False,515,False
4.08,False,0.0021507190148863493,0,Sydney,False,False,684,False
3.7,False,0.0019493793597605952,0,Tokyo,False,False,1213,False
3.31,False,0.0017332837610686664,1,Sydney,False,False,1504,False
8.66,False,0.004547196857918476,1,Tokyo,True,False,2335,False
2.0,False,0.001054401864182496,2,Tokyo,False,False,1188,False
1.52,False,0.000796478725634039,2,New York,False,False,885,False
2.8,False,0.0014679437777533118,2,New York,False,False,1003,False
10.68,False,0.00560459282738064,4,London,False,False,2904,True
3.61,False,0.0019106796938678295,4,New York,False,False,1906,False
10.64,False,0.0055554105208197365,0,New York,True,True,1069,False
2.03,False,0.0010634675328077114,0,Tokyo,False,False,1777,True
4.17,False,0.002194170976958574,0,Tokyo,False,False,1718,False
2.21,False,0.001163604964012489,0,New York,False,False,1555,False
2.62,False,0.0013711247409516234,0,New York,False,False,999,True
1.71,False,0.0008966916796450989,1,Sydney,True,False,596,True
4.26,False,0.002194405810539329,2,Sydney,True,False,1089,True
2.29,False,0.0011814598510019193,2,Sydney,False,False,1214,True
4.04,False,0.002085731838903029,2,Tokyo,False,False,1518,True
4.25,False,0.0021946017959588345,3,Tokyo,False,False,1303,False
3.37,False,0.0017451374360461505,3,London,False,False,1363,False
1.1,False,0.0005675427462877546,3,New York,False,False,262,False
1.93,False,0.0009965353615151468,4,New York,True,False,265,False
2.59,False,0.0013370916449840994,4,Tokyo,False,False,890,False
4.87,True,0.0024351217560878045,1,Sydney,True,False,844,True
4.65,True,0.002330243046855425,1,Sydney,True,False,1082,True
6.4,True,0.003212286997766457,1,Sydney,True,False,2033,False
2.41,True,0.0011766199273522636,2,New York,True,False,704,True
5.33,True,0.002607211164538015,2,Sydney,True,False,886,False
10.88,True,0.005345202827848114,2,Tokyo,True,False,2040,True
9.47,True,0.004749724144849032,2,London,False,False,2785,False
2.49,False,0.001254130066886937,3,Tokyo,False,False,825,False
3.7,False,0.001851620167646691,4,New York,True,False,449,True
12.35,False,0.006238318937212709,4,London,True,False,1596,False
3.28,False,0.0016482826201663356,4,London,False,False,1036,True
4.8,False,0.0024155318699236087,4,New York,False,False,728,True
2.56,False,0.00130530996012686,0,London,False,False,1085,False
3.61,False,0.0018611029483788812,1,Sydney,True,True,615,True
4.21,False,0.002174137574881223,1,Sydney,True,True,986,True
