candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
1.98,False,0.0010750995010017973,4,Sydney,False,False,1227,True
3.16,False,0.0017090688819660783,4,Tokyo,True,False,2680,False
4.61,False,0.0025044411727955756,4,London,False,False,2366,True
4.05,False,0.002183464970213225,1,Sydney,False,False,1065,True
9.0,False,0.004818632043903092,1,London,True,True,5378,False
1.61,False,0.0008717498890007906,3,Tokyo,False,False,2102,False
4.15,False,0.0022472761929516753,3,London,False,False,2490,False
1.07,False,0.0005779628699367482,4,New York,False,False,336,False
8.05,False,0.004336209775594411,4,Sydney,True,False,3211,False
5.89,False,0.003165033101195082,0,London,False,False,2220,False
3.68,False,0.0019934130698561277,1,London,False,False,1575,False
11.18,False,0.0060604746468337,2,London,True,False,4943,False
1.93,False,0.0010453961943245277,3,Sydney,False,False,1000,False
2.75,False,0.0014857717098260836,3,Tokyo,True,False,1602,True
2.96,False,0.0015941919708736818,3,Tokyo,True,False,1225,False
6.53,False,0.0035049487944693735,3,London,True,False,3790,True
2.16,False,0.001166231129732415,0,New York,True,True,184,False
4.28,False,0.0023187526411025997,1,Tokyo,True,False,1894,True
2.21,False,0.0011948206417430325,2,Tokyo,False,False,1233,False
1.86,False,0.0010065861037000159,4,Sydney,True,False,990,False
4.72,False,0.002586513960051511,1,Tokyo,False,False,2336,False
11.26,False,0.0061086758387222774,3,London,True,False,5159,False
2.79,False,0.00150402691076107,3,New York,True,False,1137,False
4.58,False,0.002488129773895281,2,New York,False,False,1680,False
3.53,False,0.0019236533064494155,3,Tokyo,False,False,1792,False
4.43,False,0.0024199187169514484,4,London,False,False,3012,False
1.7,False,0.0009310528016474157,4,New York,False,False,485,True
5.15,False,0.002808575152562893,0,Sydney,False,False,3137,False
1.31,False,0.0007198870162057008,2,Sydney,False,False,930,True
4.14,False,0.002276163509910108,2,Tokyo,False,False,1677,True
3.43,False,0.0019397819300547437,1,New York,False,False,1709,False
2.18,False,0.001232947989955433,2,New York,True,False,565,True
3.23,False,0.001823179783589124,2,Sydney,False,False,1948,False
2.38,False,0.0013663790381380503,4,Sydney,True,False,742,True
17.03,False,0.009768773195817154,2,London,True,False,8963,False
4.43,False,0.002555611962340779,3,Sydney,False,False,2224,False
3.02,False,0.0017618061429863197,4,Sydney,True,False,2572,False
5.09,False,0.0029815949482760637,4,Tokyo,False,False,2217,False
6.4,False,0.003732801409132532,0,Sydney,True,True,3583,False
3.47,False,0.0020272480837539727,1,Tokyo,True,False,3310,True
2.68,False,0.0015668024951914364,2,Tokyo,False,False,869,False
18.19,False,0.010654811066008282,3,London,True,False,8054,False
3.64,False,0.002116980627300908,4,Tokyo,True,False,2278,False
3.46,False,0.002012283068906155,4,Tokyo,False,False,2717,True
2.9,False,0.0016785904470838831,4,New York,False,False,496,False
2.27,False,0.001316980343923325,1,Tokyo,False,False,1968,False
3.06,False,0.0017605735096975382,3,Sydney,False,False,1808,True
3.94,False,0.002234953769357309,0,Tokyo,False,False,2505,True
8.11,False,0.004572569095973207,0,Tokyo,True,True,3282,False
6.31,False,0.0035437891024272987,1,Sydney,True,True,2722,False
6.29,False,0.0035341446695659013,1,London,False,False,2600,True
2.7,False,0.001531271976588553,1,New York,False,False,1604,False
3.44,False,0.0019482358271507051,2,New York,False,False,1313,False
2.97,False,0.0016803204489906764,3,Sydney,True,False,918,True
2.22,False,0.0012380585902862593,4,Sydney,False,False,1479,False
2.81,False,0.0015835535844101686,0,Sydney,False,False,1372,False
1.85,False,0.0010407115091441977,0,Tokyo,False,False,1667,True
3.04,False,0.0016995203327481916,1,Tokyo,False,False,1345,False
3.86,False,0.0021489931466047575,1,London,False,False,2378,False
